Identified Proteins (1678),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,Acetate-R1,Acetate-R2,Acetate-R3,Arabinose-R1,Arabinose-R2,Arabinose-R3,Fumarate-R1,Fumarate-R2,Fumarate-R3,Glucose-R1,Glucose-R2,Glucose-R3,LB-R1,LB-R2,LB-R3,Mannitol-R1,Mannitol-R2,Mannitol-R3,Mannose-R1,Mannose-R2,Mannose-R3,Protocatechuate-R1,Protocatechuate-R2,Protocatechuate-R3,Ribose-R1,Ribose-R2,Ribose-R3,Succinate-R1,Succinate-R2,Succinate-R3,Xylose-R1,Xylose-R2,Xylose-R3
Protein-glutamate methylesterase/protein-glutamine glutaminase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cheB PE=3 SV=1,O85128,cheB,37 kDa,,unknown,0.95961,0,0,0,0,1.0014,0,0,0,0,1.1086,1.0116,0,0,0,0,0,0,0,0,0,1.0445,0,1.0232,0.88234,0.9675,0,0,0,0,0,0,0
Sarcosine oxidase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=solA PE=4 SV=2,Q7CXV4,solA,42 kDa,,unknown,0.95961,0,0,0.98062,0,0,0,0.96552,0,0,0,0,0.91174,0,0,0.9939,0.98595,0,0,0,0,0,0,0,0,0.9675,0.94895,0,0,0,0,0,0
CMP/dCMP-type deaminase domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1453 PE=4 SV=2,Q7CZ79,Atu1453,22 kDa,,unknown,0,0,0,0,0,0,0.90766,0.96552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0.94895,1.0001,0,0.9276,0.94041,0,0
Holliday junction ATP-dependent DNA helicase RuvB OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ruvB PE=3 SV=1,Q8U9K6,ruvB,38 kDa,,unknown,0,0,1.1868,0,0,0,0,0,0,0,2.2172,1.0116,0,1.1008,0,0,0,0,0,0,0,0,0,0,0.88234,0,0.94895,0,0.92935,0,0,0,0
Probable flagellum biosynthesis repressor protein FlbT OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=flbT PE=3 SV=1,Q8UHV1,flbT,17 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,2.9025,1.8979,0,0,0,0,0,0
"ABC transporter, nucleotide binding/ATPase protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3064 PE=4 SV=1",A9CEL9,Atu3064,29 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,1.935,2.8469,0,0,0,0,0,0
Dihydrodipicolinate synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dapA PE=1 SV=1,A9CHR2,dapA,31 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,1.935,0.94895,0,0,0,0.94041,0,0
Galactitol 2-dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3164 PE=1 SV=1,A9CES4,Atu3164,27 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99257,0,1.0071,0,0,0,1.7647,0.9675,0.94895,0,0,0,0,0,0
DctM domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2743 PE=4 SV=1,A9CHF1,Atu2743,44 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0.9675,1.8979,0,0,0,0.94041,0,0
"ABC transporter, substrate binding protein (Sugar) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3151 PE=4 SV=1",A9CER5,Atu3151,46 kDa,,unknown,0,0,0,0.98062,1.189,2.0028,0,0,0,0,0,0,0,0,1.0011,0,0,0,0,0,0,0,0,0,0,0,0.94895,0,0,0,0,0.94195,0
"ABC transporter, nucleotide binding/ATPase protein (Sugar) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1792 PE=4 SV=1",A9CIM4,Atu1792,55 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,1.0116,0,0,0,0,0,0,0,0,0,0,0,1.0232,1.7647,0.9675,0.94895,0,0,0,0.94041,0,0
Propionyl-CoA carboxylase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3586 PE=4 SV=2,Q7CSU7,Atu3586,56 kDa,TRUE,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1.8235,0,2.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1532 PE=4 SV=2,Q7CZ15,Atu1532,13 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,1.935,1.8979,0,0,0,0,0,1.0108
Queuine tRNA-ribosyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tgt PE=3 SV=1,Q8UES8,tgt,42 kDa,,unknown,0,0,0,0,0,0,0.90766,1.931,0.95491,0,0,0,0.91174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9276,0,0,0
Amidohydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4428 PE=4 SV=1,A9CGM5,Atu4428,43 kDa,,unknown,0,1.0605,0,0.98062,0,0,0,0,0,0,0,0,1.8235,0,1.0011,0,0,0,0,0,0,0,0,0,0,0.9675,0.94895,0,0,0,0,0,0
Oxidoreductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3485 PE=4 SV=2,Q7CSK9,Atu3485,76 kDa,,unknown,0,1.0605,1.1868,0,0,0,0,0,0,0,1.1086,1.0116,0,0,0,0.9939,0.98595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA-binding protein Hfq OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=hfq PE=3 SV=1,Q8UFE8,hfq,9 kDa,,unknown,0,1.0605,1.1868,0,0,0,0,0,0,0,0,0,0,1.1008,0,0,0,0,0,0,0,0,0,0,0,0.9675,0.94895,0,0,0,0,0.94195,1.0108
NADP-dependent aldehyde dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4849 PE=3 SV=2,Q7CW12,Atu4849,85 kDa,,unknown,0.95961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0.94895,0,0,0,0.94041,0.94195,1.0108
Haloacid dehalogenase-like hydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3251 PE=4 SV=1,A9CEX3,Atu3251,24 kDa,,unknown,0,0,0,0,0,0,0.90766,0.96552,0.95491,0,0,0,0,0,0,0,0,0,0,0.98736,0,0,0.97876,0,0,0,0,1.0001,0,0,0,0.94195,0
"ABC transporter, nucleotide binding/ATPase protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2577 PE=4 SV=1",A9CHM5,Atu2577,102 kDa,,unknown,0,0,0,0.98062,1.189,1.0014,0,0,0,0,1.1086,0,0,0,0,0,0,1.0108,0.99257,0,0,1.0445,0,0,0,0,0,0,0,0,0,0,0
D-isomer specific 2-hydroxyacid dehydrogenases family protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0077 PE=3 SV=1,A9CKQ9,Atu0077,37 kDa,,unknown,0,0,0,0,0,0,0.90766,0.96552,0.95491,0,1.1086,0,0.91174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9276,0,0,0
Dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1130 PE=3 SV=2,Q7CZX3,Atu1130,28 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97876,0,0.88234,0,0.94895,0,0,0,1.8808,0.94195,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0335 PE=4 SV=1,Q7D1N8,Atu0335,25 kDa,,unknown,0,1.0605,0,0,0,1.0014,0,0,0,0,0,0,0,0,0,0,1.9719,0,0,0.98736,0,0,0,0,0,0,0.94895,0,0,0,0,0,0
Folylpolyglutamate synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=folC PE=3 SV=1,Q7D2C0,folC,48 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABC transporter, substrate binding protein (Amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu5482 PE=4 SV=1",A9CL48,Atu5482,28 kDa,,unknown,0,0,0,1.9612,3.5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3747 PE=4 SV=2,Q7CT76,Atu3747,37 kDa,,unknown,0,1.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,0.9675,0,0,0,0,0.94041,0,0
"Transcriptional regulator, LacI family OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3062 PE=4 SV=2",Q7CRH7,Atu3062,37 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,1.935,0.94895,0,0,0,0,0,0
Replicative DNA helicase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dnaC PE=3 SV=1,A9CJI0,dnaC,55 kDa,,unknown,0,1.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0.9675,1.8979,0,0,0,0,0,0
L-serine dehydratase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=sdaA PE=3 SV=1,A9CIP0,sdaA,50 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1.8235,2.2017,2.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFO_IDH_MocA domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3347 PE=4 SV=1,A9CF18,Atu3347,41 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0,0,0,0,0,0,0,0,0,1.7647,0,1.8979,0,0,0,0,0,0
N-carbamoyl-beta-alanine amidohydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=amaB PE=4 SV=2,Q7CRI5,amaB,45 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0.9675,1.8979,0,0,0,0,0,0
"ABC transporter, membrane spanning protein (Sorbitol/mannitol) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4448 PE=3 SV=2",Q7CUZ6,Atu4448,37 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9878,1.9719,2.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probable GTP-binding protein EngB OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=engB PE=3 SV=1,Q8UIB4,engB,24 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0,0,0,0.92935,0.9276,0,0,0
DNA repair protein RadA OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=radA PE=3 SV=1,A9CJI4,radA,49 kDa,,unknown,0,0,0,0,0,0,1.8153,0.96552,0,0,0,0,0,0,0,0,0.98595,0,0,0,0,0,0,0,0,0,0,1.0001,0,0.9276,0,0,0
Probable protein kinase UbiB OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=aarF PE=3 SV=1,A9CKE1,aarF,58 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,1.1008,2.0022,0,0,0,0,0,0,0,0,1.0232,0.88234,0,0,0,0,0,0,0,0
NAD/NADP-dependent betaine aldehyde dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=betB PE=1 SV=1,Q8UH56,betB,52 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1.8235,2.2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P type cation (Metal) transporter, ATPase component OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0843 PE=3 SV=2",Q7D0J8,Atu0843,95 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,2.2017,2.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABC transporter, nucleotide binding/ATPase protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1907 PE=4 SV=1",A9CIG6,Atu1907,34 kDa,,unknown,0,0,0,0,0,0,1.8153,0,0.95491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.92935,0.9276,0,0,0
Monooxygenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4121 PE=4 SV=2,Q7CU40,Atu4121,38 kDa,,unknown,0,0,0,0,1.189,0,0,0,0,0,0,0,0.91174,1.1008,0,0,0,0,0,0,0,0,0,0,0.88234,0,0,0,0.92935,0,0,0,0
"ABC transporter, substrate binding protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2473 PE=4 SV=1",A9CHS7,Atu2473,34 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0232,0,0,0,0,0,0,0,0,0
Amidohydro-rel domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=phnM PE=4 SV=1,A9CKM4,phnM,41 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,1.0116,0.91174,0,1.0011,0,0,0,0.99257,0,0,0,0,0,0.88234,0,0,0,0,0,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1570 PE=4 SV=1,A9CIX1,Atu1570,12 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,0,0,0,0,1.0011,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,1.0108
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1176 PE=4 SV=2,Q7CZT6,Atu1176,20 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,1.1008,1.0011,0,0,0,0,0,0,0,0,0,0,0.9675,0,0,0,0,0.94041,0.94195,0
Molybdopterin molybdenumtransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=moeA PE=3 SV=1,A9CIR9,moeA,42 kDa,,unknown,0,0,0,0,0,0,0,0,0.95491,0,0,0,0,0,0,0.9939,0,0,0,0,0,0,0.97876,0,0,0,0,0,0.92935,0,0,0.94195,0
META domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2463 PE=4 SV=1,A9CHT3,Atu2463,29 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,0,0,0,0,0,0.98736,0,1.0445,0,0,0.88234,0,0.94895,0,0.92935,0,0,0,0
Myo-inositol 2-dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=idhA PE=4 SV=1,A9CFY2,idhA,35 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0,0,0,0,0.98736,0,0,0,0,0.88234,0,0,0,0,0,0.94041,0.94195,0
Signal recognition particle receptor FtsY OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ftsY PE=3 SV=1,A9CHH2,ftsY,51 kDa,,unknown,0,1.0605,1.1868,0,0,0,0.90766,0,0,0,0,0,0,0,0,0,0.98595,0,0,0,0,1.0445,0,0,0,0,0.94895,0,0,0,0,0,0
5-hydroxyisourate hydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2323 PE=3 SV=1,A9CI04,Atu2323,13 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0,0,0,0,0,0.94195,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2076 PE=4 SV=1,A9CIB8,Atu2076,18 kDa,,unknown,0,0,0,0.98062,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0.9939,0,0,0,0,0,0,0,0,0,0.9675,0,0,0,0,0,0,0
Two component sensor kinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0027 PE=4 SV=1,A9CKS6,Atu0027,97 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1008,0,0,0.98595,0,0,0,1.0071,0,0,0,0.88234,0.9675,0.94895,0,0,0,0,0,0
"ABC transporter, membrane spanning protein (Branched chain amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=livH PE=3 SV=2",Q7CV58,livH,30 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.089,1.9575,2.0464,0,0,0,0,0,0,0,0,0
Precorrin-6y methyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cobL PE=4 SV=2,Q7CW86,cobL,45 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,1.1008,1.0011,0,0,0,0,0,0,0,0,0,0,0,0.94895,0,0,0,0,0.94195,1.0108
HTH cro/C1-type domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2141 PE=4 SV=2,Q7CXS6,Atu2141,16 kDa,,unknown,0.95961,0,0,0.98062,0,1.0014,0,0,0,0,0,1.0116,0,0,0,0.9939,0,0,0,0,0,0,0,0,0,0.9675,0,0,0,0,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1967 PE=4 SV=2,Q7CY65,Atu1967,23 kDa,,unknown,0,1.0605,0,0,0,1.0014,0.90766,0.96552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92935,0,0,0,1.0108
Pseudouridine synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rluC PE=3 SV=2,Q7CZ66,rluC,37 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,1.1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0,0,0,0.9276,0,0.94195,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0684 PE=4 SV=1,Q7D0X9,Atu0684,30 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0.95491,0,0,0,0,0,0,0,0,0,0,0.98736,0,0,0,0,0,0,0,0,0.92935,0,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8180 PE=4 SV=2,Q8U536,Atu8180,17 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,0,0,0.91174,0,1.0011,0.9939,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.92935,0,0,0,0
Ribosomal protein L11 methyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=prmA PE=3 SV=1,Q8UDP9,prmA,32 kDa,,unknown,0,0,0,0.98062,0,0,0.90766,0,0,0,1.1086,0,0.91174,0,0,0,0,0,0,0,1.0071,0,0,0,0,0,0,0,0.92935,0,0,0,0
Transcriptional repressor NrdR OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=nrdR PE=3 SV=1,Q8UG74,nrdR,18 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0,0,0,0,0,0,0,0,0,0,0.9675,0.94895,0,0.92935,0,0,0,0
Cluster of Glycerol-3-phosphate dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glpD PE=3 SV=1 (A9CFT7),A9CFT7 [2],glpD,56 kDa,TRUE,unknown,0,2.1211,1.1868,0,0,0,0.90766,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0071,0,0,0,0,0,0,0,0,0.9276,0,0,0
Hippurate hydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=hipO PE=4 SV=1,A9CHG0,hipO,41 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,2.7352,0,1.0011,0,0,0,0,0,0,0,0,0,0,0,0.94895,0,0,0,0,0,0
Catalase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=catE PE=3 SV=2,Q7D2Y4,catE,79 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,4.4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribitol kinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4324 PE=4 SV=1,A9CGF6,Atu4324,56 kDa,,unknown,0,0,0,1.9612,1.189,1.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABC transporter, substrate binding protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3049 PE=4 SV=2",Q7CRG5,Atu3049,62 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0,0.94895,0,0,0,0,0,0
"Resiniferatoxin-binding, phosphotriesterase-related protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3066 PE=3 SV=1",A9CEM1,Atu3066,39 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,0.9675,1.8979,0,0,0,0,0,0
Beta-(1-->2)glucan export ATP-binding/permease protein NdvA OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ndvA PE=3 SV=1,P0A2V0,ndvA,65 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0445,0,0,1.7647,1.935,0,0,0,0,0,0,0
Xanthine dehydrogenase C-terminal subunit OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=xdhB PE=4 SV=2,Q7CXD3,xdhB,82 kDa,,unknown,0.95961,2.1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94195,1.0108
Hydantoinase beta subunit-like protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3039 PE=4 SV=1,A9CEK7,Atu3039,54 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1.8235,2.2017,1.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porin OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1020 PE=3 SV=1,A9CJL0,Atu1020,39 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0,0,0,0,0,0.94041,0.94195,2.0216
Chemotaxis protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cheW PE=4 SV=2,Q7CXX9,cheW,17 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7647,1.935,0.94895,0,0,0,0,0,0
Dihydrodipicolinate synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dapA PE=3 SV=2,Q7D3Z9,dapA,32 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1.8235,1.1008,2.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exopolysaccharide production protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=exoP PE=4 SV=1,A9CJC4,exoP,81 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935,0,0,0,0,0,0,0
Two component response regulator OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1989 PE=4 SV=2,Q7CY46,Atu1989,17 kDa,,unknown,0,0,0,0,0,0,0.90766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,1.8552,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2132 PE=4 SV=1,A9CI97,Atu2132,30 kDa,,unknown,0,0,1.1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97876,0,0,0.9675,0,0,0,0,0,1.8839,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2430 PE=4 SV=1,A9CHV2,Atu2430,10 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0,0.94895,0,0,0,0,0,0
Type IV secretion protein AvhB4 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=avhB4 PE=4 SV=2,Q7D3R9,avhB4,85 kDa,,unknown,0,0,0,0,0,1.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0445,0.97876,1.0232,0,0,0,0,0,0,0,0,0
KAP NTPase domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu5022 PE=4 SV=1,A9CLS7,Atu5022,70 kDa,,unknown,0,0,0,0.98062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0,0,0,0,0,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1916 PE=4 SV=1,Q7CY87,Atu1916,13 kDa,,unknown,0,0,0,0,0,0,0.90766,0.96552,0.95491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.92935,0,0,0,0
Dihydroxy-acid dehydratase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ilvD PE=3 SV=1,A9CFW0,ilvD,62 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.91174,0,1.0011,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0.94895,0,0,0,0,0,0
Peptidase_M75 domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0288 PE=4 SV=2,Q7D1S0,Atu0288,46 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0445,0.97876,0,0,0.9675,0,0,0,0,0,0.94195,0
